s,h,q_eq,f1,f2,regime
-1.85,-1.4,0.368421052631579,36.724137931027705,-7.592399999999997,unstable
-1.85,-1.35,0.3648648648648649,18.8732394366202,-6.265025000000005,unstable
-1.85,-1.3,0.36111111111111116,12.682154171066331,-5.006100000000004,unstable
-1.85,-1.25,0.35714285714285715,9.53846153846159,-3.8156250000000003,unstable
-1.85,-1.2,0.3529411764705882,7.635869565217445,-2.693600000000001,unstable
-1.85,-1.15,0.34848484848484845,6.360041013622374,-1.6400249999999998,unstable
-1.85,-1.1,0.34375000000000006,5.444617784711419,-0.6549000000000018,unstable
-1.85,-1.05,0.3387096774193548,4.755393139219616,0.26177499999999787,unstable
-1.85,-1.0,0.3333333333333333,4.217391304347827,1.1099999999999994,unstable
-1.85,-0.95,0.3275862068965517,3.785431270953975,1.8897749999999993,unstable
-1.85,-0.9,0.32142857142857145,3.4306569343065685,2.6010999999999997,unstable
-1.85,-0.85,0.3148148148148148,3.1337673054002004,3.2439750000000007,unstable
-1.85,-0.8,0.3076923076923077,2.881355932203389,3.8183999999999987,unstable
-1.85,-0.75,0.30000000000000004,2.6638115631691637,4.324374999999999,unstable
-1.85,-0.7,0.2916666666666667,2.4740542350184134,4.761900000000001,unstable
-1.85,-0.65,0.2826086956521739,2.30674240553223,5.130974999999999,unstable
-1.85,-0.6,0.2727272727272727,2.157757496740547,5.4316,unstable
-1.85,-0.55,0.2619047619047619,2.023857826827884,5.663775,unstable
-1.85,-0.5,0.25,1.902439024390244,5.8275,unstable
-1.85,-0.45,0.23684210526315788,1.7913627796443494,5.922775,unstable
-1.85,-0.4,0.22222222222222224,1.688829787234043,5.9496,unstable
-1.85,-0.35,0.20588235294117646,1.593280733010944,5.907975,unstable
-1.85,-0.3,0.18750000000000003,1.5033135681897454,5.7979,unstable
-1.85,-0.25,0.16666666666666666,1.417607223476298,5.619375000000001,unstable
-1.85,-0.2,0.14285714285714285,1.334841628959276,5.3724,unstable
-1.85,-0.15,0.11538461538461538,1.25360087414324,5.0569749999999996,unstable
-1.85,-0.1,0.08333333333333334,1.1722386796445197,4.673100000000001,unstable
-1.85,-0.05,0.045454545454545456,1.0886682642930505,4.220775000000001,unstable
-1.85,0.0,1.0,1.0,3.7,fixation
-1.85,0.05,1.0,1.0925,3.110775,fixation
-1.85,0.1,1.0,1.185,2.4531,fixation
-1.85,0.15,1.0,1.2775,1.726975,fixation
-1.85,0.2,1.0,1.37,0.9324,fixation
-1.85,0.25,1.0,1.4625,0.06937500000000017,fixation
-1.85,0.3,1.0,1.5550000000000002,-0.8621000000000004,fixation
-1.85,0.35,1.0,1.6475,-1.8620249999999996,fixation
-1.85,0.4,1.0,1.7400000000000002,-2.9304000000000014,fixation
-1.85,0.45,1.0,1.8325,-4.0672250000000005,fixation
-1.85,0.5,1.0,1.925,-5.272500000000001,fixation
-1.85,0.55,1.0,2.0175,-6.5462250000000015,fixation
-1.85,0.6,1.0,2.1100000000000003,-7.8884000000000025,fixation
-1.85,0.65,1.0,2.2025,-9.299025000000002,fixation
-1.85,0.7,1.0,2.295,-10.778099999999998,fixation
-1.85,0.75,1.0,2.3875,-12.325625000000002,fixation
-1.85,0.8,1.0,2.4800000000000004,-13.941600000000003,fixation
-1.85,0.85,1.0,2.5725,-15.626024999999998,fixation
-1.85,0.9,1.0,2.665,-17.378900000000005,fixation
-1.85,0.95,1.0,2.7575000000000003,-19.200225000000003,fixation
-1.85,1.0,1.0,2.85,-21.090000000000003,fixation
-1.85,1.05,0.9545454545454546,0.9690647768443685,-23.048225,stable
-1.85,1.1,0.9166666666666666,0.9408172168096556,-25.074900000000007,stable
-1.85,1.15,0.8846153846153847,0.9148233410069064,-27.170025,stable
-1.85,1.2,0.8571428571428571,0.8907480314960634,-29.3336,stable
-1.85,1.25,0.8333333333333334,0.8683274021352315,-31.565625,stable
-1.85,1.3,0.8125,0.8473500476039353,-33.86610000000001,stable
-1.85,1.35,0.7941176470588235,0.8276439997042369,-36.23502500000001,stable
-1.85,1.4,0.7777777777777778,0.8090674530040546,-38.6724,stable
-1.85,1.45,0.7631578947368421,0.7915020402875838,-41.178225,stable
-1.85,1.5,0.75,0.774847870182556,-43.752500000000005,stable
-1.85,1.55,0.7380952380952381,0.7590198063296217,-46.395225,stable
-1.85,1.6,0.7272727272727273,0.7439446366782002,-49.10640000000001,stable
-1.85,1.65,0.7173913043478262,0.7295588911795273,-51.886025000000004,stable
-1.85,1.7,0.7083333333333334,0.7158071387078039,-54.73409999999999,stable
-1.85,1.75,0.7000000000000001,0.7026406429391507,-57.65062500000001,stable
-1.85,1.8,0.6923076923076923,0.6900162904351874,-60.63560000000001,stable
-1.85,1.85,0.6851851851851851,0.6778957275130444,-63.68902500000001,stable
-1.85,1.9,0.6785714285714286,0.6662446589650262,-66.8109,stable
-1.85,1.95,0.6724137931034483,0.655032273487927,-70.00122499999999,stable
-1.85,2.0,0.6666666666666666,0.6442307692307689,-73.26,stable
-1.8,-2.0,0.4,-3.909090909090927,-26.64,unstable
-1.8,-1.95,0.39795918367346933,-4.325019285163306,-24.6204,unstable
-1.8,-1.9,0.3958333333333333,-4.840989399293297,-22.665599999999998,unstable
-1.8,-1.85,0.3936170212765957,-5.498117083190669,-20.775600000000004,unstable
-1.8,-1.8,0.3913043478260869,-6.363636363636387,-18.95040000000001,unstable
-1.8,-1.75,0.3888888888888889,-7.55555555555556,-17.189999999999998,unstable
-1.8,-1.7,0.38636363636363635,-9.301745635910263,-15.494399999999999,unstable
-1.8,-1.65,0.38372093023255816,-12.106577851790465,-13.863599999999995,unstable
-1.8,-1.6,0.380952380952381,-17.352941176468484,-12.297600000000006,unstable
-1.8,-1.55,0.3780487804878049,-30.690423162581705,-10.796400000000002,unstable
-1.8,-1.5,0.375,-133.99999999964615,-9.360000000000003,unstable
-1.8,-1.45,0.3717948717948718,56.36363636356511,-7.988399999999998,unstable
-1.8,-1.4,0.368421052631579,23.235294117643033,-6.681599999999998,unstable
-1.8,-1.35,0.36486486486486486,14.612634088200304,-5.439600000000002,unstable
-1.8,-1.3,0.36111111111111116,10.645161290322594,-4.262400000000004,unstable
-1.8,-1.25,0.35714285714285715,8.363636363636344,-3.15,unstable
-1.8,-1.2,0.35294117647058826,6.881188118811884,-2.1024000000000003,unstable
-1.8,-1.15,0.3484848484848485,5.840130505709637,-1.1195999999999982,unstable
-1.8,-1.1,0.34375,5.068493150684948,-0.20160000000000178,unstable
-1.8,-1.05,0.33870967741935487,4.473330345136721,0.6515999999999978,unstable
-1.8,-1.0,0.3333333333333333,3.999999999999996,1.4399999999999997,unstable
-1.8,-0.95,0.3275862068965517,3.614268914151317,2.1636,unstable
-1.8,-0.9,0.32142857142857145,3.2935916542473875,2.8223999999999987,unstable
-1.8,-0.85,0.3148148148148148,3.02250803858521,3.4164000000000003,unstable
-1.8,-0.8,0.3076923076923077,2.790055248618782,3.945599999999999,unstable
-1.8,-0.75,0.30000000000000004,2.588235294117649,4.409999999999999,unstable
-1.8,-0.7,0.29166666666666663,2.41106719367589,4.8096,unstable
-1.8,-0.65,0.2826086956521739,2.2539785644689836,5.144399999999999,unstable
-1.8,-0.6,0.27272727272727276,2.1134020618556706,5.4144000000000005,unstable
-1.8,-0.55,0.2619047619047619,1.9864995178399232,5.6196,unstable
-1.8,-0.5,0.25,1.8709677419354838,5.760000000000001,unstable
-1.8,-0.45,0.2368421052631579,1.7648974275480298,5.8356,unstable
-1.8,-0.4,0.22222222222222224,1.6666666666666672,5.8464,unstable
-1.8,-0.35,0.20588235294117646,1.5748563703954037,5.7924,unstable
-1.8,-0.3,0.18750000000000003,1.4881780250347707,5.6736,unstable
-1.8,-0.25,0.16666666666666666,1.4054054054054053,5.49,unstable
-1.8,-0.2,0.14285714285714288,1.3253012048192772,5.2416,unstable
-1.8,-0.15,0.1153846153846154,1.2465263993648275,4.9284,unstable
-1.8,-0.1,0.08333333333333334,1.16751269035533,4.5504,unstable
-1.8,-0.05,0.04545454545454546,1.0862619808306708,4.107600000000001,unstable
-1.8,0.0,1.0,1.0,3.6,fixation
-1.8,0.05,1.0,1.09,3.0276,fixation
-1.8,0.1,1.0,1.18,2.3904,fixation
-1.8,0.15,1.0,1.27,1.6884,fixation
-1.8,0.2,1.0,1.36,0.9216000000000001,fixation
-1.8,0.25,1.0,1.45,0.09000000000000008,fixation
-1.8,0.3,1.0,1.54,-0.8063999999999999,fixation
-1.8,0.35,1.0,1.63,-1.7675999999999992,fixation
-1.8,0.4,1.0,1.7200000000000002,-2.7936000000000014,fixation
-1.8,0.45,1.0,1.81,-3.8844,fixation
-1.8,0.5,1.0,1.9,-5.04,fixation
-1.8,0.55,1.0,1.9900000000000002,-6.260400000000002,fixation
-1.8,0.6,1.0,2.08,-7.5456,fixation
-1.8,0.65,1.0,2.17,-8.8956,fixation
-1.8,0.7,1.0,2.26,-10.3104,fixation
-1.8,0.75,1.0,2.35,-11.790000000000001,fixation
-1.8,0.8,1.0,2.4400000000000004,-13.334400000000002,fixation
-1.8,0.85,1.0,2.5300000000000002,-14.9436,fixation
-1.8,0.9,1.0,2.62,-16.617600000000003,fixation
-1.8,0.95,1.0,2.71,-18.3564,fixation
-1.8,1.0,1.0,2.8,-20.16,fixation
-1.8,1.05,0.9545454545454545,0.9693629437510132,-22.0284,stable
-1.8,1.1,0.9166666666666667,0.9413854351687385,-23.961600000000008,stable
-1.8,1.15,0.8846153846153846,0.9156364624371685,-25.959599999999995,stable
-1.8,1.2,0.8571428571428571,0.8917835671342685,-28.0224,stable
-1.8,1.25,0.8333333333333333,0.8695652173913043,-30.150000000000002,stable
